series,holiday,weekday,speed,predict_speed
0,0,6,67.27,67.27
2,0,6,67.27,67.66
4,0,6,67.66,67.76
6,0,6,67.76,68.02
8,0,6,68.02,68.25
10,0,6,68.25,68.54
12,0,6,68.54,68.94
14,0,6,68.94,69.24
16,0,6,69.24,69.84
18,0,6,69.84,70.25
20,0,6,70.25,70.6
22,0,6,70.6,70.91
24,0,6,70.91,71.14
26,0,6,71.14,71.37
28,0,6,71.37,71.66
30,0,6,71.66,71.89
32,0,6,71.89,71.82
34,0,6,71.82,72.09
36,0,6,72.09,72.04
38,0,6,72.04,72.07
40,0,6,72.07,71.94
42,0,6,71.94,72.1
44,0,6,72.1,72.22
46,0,6,72.22,72.35
48,0,6,72.35,72.6
50,0,6,72.6,72.6
52,0,6,72.6,72.75
54,0,6,72.75,72.77
56,0,6,72.77,72.7
58,0,6,72.7,72.64
100,0,6,72.64,72.4
102,0,6,72.4,72.6
104,0,6,72.6,72.52
106,0,6,72.52,72.47
108,0,6,72.47,72.27
110,0,6,72.27,72.13
112,0,6,72.13,72.13
114,0,6,72.13,72.17
116,0,6,72.17,72.12
118,0,6,72.12,72.46
120,0,6,72.46,72.49
122,0,6,72.49,72.59
124,0,6,72.59,72.68
126,0,6,72.68,73.06
128,0,6,73.06,73.38
130,0,6,73.38,73.78
132,0,6,73.78,74.12
134,0,6,74.12,74.57
136,0,6,74.57,74.68
138,0,6,74.68,74.64
140,0,6,74.64,74.57
142,0,6,74.57,74.22
144,0,6,74.22,74.02
146,0,6,74.02,73.98
148,0,6,73.98,73.62
150,0,6,73.62,73.61
152,0,6,73.61,73.45
154,0,6,73.45,73.75
156,0,6,73.75,73.92
158,0,6,73.92,74.35
200,0,6,74.35,74.51
202,0,6,74.51,74.75
204,0,6,74.75,75.01
206,0,6,75.01,74.92
208,0,6,74.92,75.06
210,0,6,75.06,75.06
212,0,6,75.06,75.39
214,0,6,75.39,75.35
216,0,6,75.35,75.3
218,0,6,75.3,75.52
220,0,6,75.52,75.42
222,0,6,75.42,75.58
224,0,6,75.58,75.87
